Period,quick_ratio,profit_growth,management_turnover,loan_size,leverage_ratio,defaulted,sector,Environment,Social,Governance
1,0.29,-0.18,0.11,53.06,0.7,1,1,0.028129534,0.20937108,-0.719051059
1,2.07,0.44,0.38,403.37,0.21,0,1,0.156547912,0.042233523,-0.854890914
1,0.18,-0.09,0.25,106.22,0.83,1,1,-0.426099405,0.38424389,0.108841505
1,0.34,0.19,0.1,452.29,0.36,1,1,-0.221770051,0.299328349,0.087536023
1,0.65,0.2,0.18,441.16,0.49,0,1,-0.24464839,-1.993648766,-0.548874368
1,1.97,-0.4,0.19,402.7,0.34,0,1,-1.943899406,1.040725692,0.526034682
1,0.93,-0.43,0.38,158.38,0.59,1,1,1.12741418,-0.064605388,0.27427177
1,0.92,0.27,0.1,438.23,0.57,1,1,-0.071381692,-0.058798832,0.039931365
1,0.3,0.7,0.44,353.11,0.84,0,1,0.823865776,0.093858148,-0.749112132
1,3.9,0.26,0.2,212.52,0.78,0,1,1.06508196,0.021097151,0.400556246
1,0.99,0.34,0.36,441.22,0.52,1,1,1.732687451,0.147396975,0.313350483
1,1.02,0.78,0.42,220.08,0.34,1,1,-0.354385747,0.2917551,0.444574653
1,0.24,-0.08,0.2,103.15,0.82,1,1,-2.394863259,-0.142953809,0.204429966
1,3.02,-0.42,0.36,359.99,0.29,0,1,-0.014308625,-0.269205884,-0.562196192
1,0.14,-0.34,0.34,269.45,0.58,0,1,0.465315679,-1.50377673,-0.060399543
1,3.66,-0.04,0.46,68.87,0.77,1,1,-0.203302761,0.816174861,0.363536401
1,1.4,0.35,0.18,40.78,0.28,0,1,1.330149644,0.581387098,-0.483313443
1,0.46,0.49,0.42,312.72,0.47,1,1,1.679823072,0.995548817,0.221381811
1,2.36,-0.14,0.35,452.64,0.66,1,1,1.291043645,0.6561595,0.16440481
1,1.67,0.22,0.06,401.49,0.7,1,1,0.189897946,-0.950759045,0.036325218
1,0.19,-0.1,0.17,102.94,0.98,1,1,-1.005355443,1.543148755,-0.39830411
1,0.25,-0.19,0.12,24.24,0.8,1,1,-0.022610038,-1.755356607,-0.760162493
1,3.88,-0.34,0.33,295.16,0.52,1,1,-0.835780156,0.32661319,-0.441668817
1,0.22,0.08,0.44,186.39,0.36,1,1,-0.366543418,1.359514954,0.254558472
1,2.13,0.86,0.28,275.81,0.65,1,1,-0.931402155,-1.103968543,-0.65351287
1,0.11,0.04,0.63,131.74,0.65,1,1,0.148729669,-1.701810106,-0.086691898
1,0,0,0.37,9.83,0.52,1,1,-0.31096647,0.080405869,0.526479198
1,2.6,0.7,0.32,34.17,0.58,0,1,-0.367316488,0.91536549,0.819193247
1,3.66,0.71,0.27,241.81,0.29,0,1,0.190584615,0.750568461,-0.454909923
1,1.59,-0.13,0.14,262.5,0.82,0,1,-0.314275894,-0.570479983,0.671561793
1,2.09,0.31,0.18,283.59,0.78,0,1,1.571115718,0.799317945,-0.4691924
1,4.58,0.73,0.44,247.38,0.86,0,1,-2.037195372,-0.017497257,0.11915688
1,0.1,0.04,0.54,120.03,0.59,1,1,0.375957825,-0.631582679,-0.093099288
1,0.08,0.06,0.36,109.11,0.55,1,1,0.207032826,0.787696308,-0.708157586
1,4.24,0.57,0.08,411.03,0.39,0,1,-0.921090759,-0.7390679,-0.802706381
1,2.42,0.19,0.48,445.7,0.81,0,1,-0.044707349,0.677741809,0.377631295
1,4.34,0.94,0.18,42.77,0.25,0,1,-1.220782906,1.017823479,0.286993327
1,4.05,0.79,0.43,488.45,0.79,0,1,-0.844322585,-0.213539693,-1.062835508
1,0.1,0.04,0.61,78.44,0.57,1,1,0.103975708,1.113842245,-0.793656909
1,2.12,0.13,0.01,43.21,0.3,1,1,1.262185378,0.073364674,-0.373089506
1,0.8,-0.23,0.41,32.89,0.26,0,1,-2.126580512,-1.332448392,1.173993951
1,4.71,0.27,0.27,98.45,0.61,1,1,0.012485089,0.694973892,-0.774807631
1,0.11,0.04,0.58,109.66,0.59,1,1,-1.921762305,-0.390186869,0.218373657
1,0.09,0.06,0.62,63.3,0.54,1,1,-0.296179223,0.886232101,0.319928404
1,4.51,0.54,0.28,192.78,0.28,0,1,-1.075848104,-0.299440046,-1.047937985
1,0.11,0.04,0.46,81.15,0.63,1,1,0.531624664,0.581787845,0.058319074
1,0.38,-0.21,0.42,473.98,0.79,1,1,-0.381751306,-1.256112228,-0.662660113
1,3.68,0.97,0.18,494.23,0.62,0,1,-0.067922201,0.79291965,0.470399755
1,0.35,-0.22,0.09,43.88,0.81,1,1,1.156370217,1.378955403,-0.142352974
1,1.19,-0.15,0.38,161.65,0.55,1,1,-0.906143214,1.111083066,-0.371344413
1,0.17,0.31,0.34,228.57,0.7,1,1,-1.742014319,-0.91184063,0.085214538
1,0,0,0.26,9.79,0.54,1,1,1.150192475,-1.304815669,-0.278481593
1,0.2,-0.08,0.18,54.21,0.95,1,1,-1.148291631,0.363794754,-0.570469183
1,2.76,0.21,0.37,35.04,0.76,0,1,-0.962268132,0.440052474,0.274100671
1,0.22,0.11,0.48,117.06,0.42,1,1,0.45102297,-0.743440296,-0.278328116
1,4.89,0.31,0.11,286.97,0.79,0,1,1.862417776,-1.476450961,1.096641427
1,0.18,-0.07,0.19,144.12,0.88,1,1,0.973034275,-0.719499553,-0.438525376
1,0.34,-0.24,0.07,46.52,0.79,1,1,1.05005256,-0.059506533,0.153094106
1,4.1,0.85,0.19,278.86,0.49,0,1,1.228104338,0.197863699,0.404173761
1,4.56,0.93,0.34,14.17,0.38,1,1,0.672254146,-1.268813321,-0.27883857
1,3.57,0.05,0.14,328.9,0.44,0,1,1.152002369,-0.258979185,-0.209993232
1,1.73,0.48,0.04,401.88,0.88,0,1,1.341657025,0.374365925,-0.003101945
1,0.23,0.13,0.29,200.9,0.38,1,1,1.747102942,0.468487542,0.383889187
1,0.29,-0.4,0.5,313.18,0.9,1,1,-0.715815531,-0.479167852,0.416710009
1,4.86,0.64,0.06,208.8,0.14,0,1,0.650347829,-0.502146804,-0.015960495
1,0.28,-0.17,0.12,51.46,0.72,1,1,0.147010724,-0.554192638,-0.423071924
1,0.28,0.23,0.23,175.02,0.54,0,1,0.106163043,0.324672556,-0.09271389
1,3.09,0.03,0.3,118.57,0.87,1,1,-0.210387725,0.273431624,0.502935791
1,3.67,-0.17,0.27,284.38,0.64,1,1,1.872194844,0.187632736,-0.765917321
1,0.69,0.85,0.24,190.68,0.12,0,1,1.236116987,-0.553923201,-0.300980219
1,0.63,0.85,0.05,114.3,0.12,0,1,-0.075006028,1.156143981,0.168340648
1,3.15,0.04,0.44,451.73,0.36,0,1,-0.279019332,0.534931246,0.357221097
1,0.17,-0.13,0.3,89.3,0.9,1,1,-0.02303409,-0.055321721,-0.795073447
1,3.79,0.24,0.48,430.45,0.22,0,1,0.847073807,-0.071458999,0.801021542
1,4.61,-0.21,0.37,350.16,0.7,1,1,0.262591584,0.080873974,-0.14141051
1,0.07,-0.5,0.23,171.26,0.9,1,1,-0.835877927,0.296098506,0.426697397
1,3.29,0.43,0.32,207.85,0.6,0,1,0.968348104,-0.745280317,-0.527751354
1,3.2,0.88,0.01,195.4,0.64,0,1,-0.839684162,1.172787734,0.040786858
1,0.1,0.04,0.41,102.96,0.54,1,1,0.479338951,-0.020644393,0.384507075
1,1.66,0.02,0.45,290.15,0.35,1,1,0.364525476,-0.548288881,0.837537755
1,3.16,0.48,0.02,313.33,0.8,1,1,-2.145043254,0.49424699,0.00937689
1,0.15,0.92,0.41,361.63,0.23,0,1,1.458370207,0.486365934,0.860165983
1,0,0,0.23,14.41,0.53,1,1,0.839172571,0.262319872,-0.499152293
1,0.03,0.85,0.14,154.71,0.24,0,1,-0.422758148,0.716268005,-0.717091098
1,2.77,-0.34,0.13,400.69,0.71,1,1,0.55600367,0.490136358,0.274519607
1,0.32,-0.14,0.08,22.07,0.74,1,1,1.157329734,-0.027961846,-0.282446422
1,3.72,-0.37,0.34,352.68,0.36,1,1,-0.668942448,0.553921495,-0.118283197
1,0.88,-0.28,0.41,37.11,0.21,0,1,-0.459629064,-0.094992174,0.745258149
1,2.28,0.49,0.43,137.79,0.13,1,1,1.886073733,-0.175336652,-0.331276624
1,0.89,0.53,0.37,55.41,0.22,1,1,1.573453119,0.181453572,0.457400802
1,0.42,0.38,0.03,98.23,0.79,0,1,-0.084514795,0.352804079,-0.265049493
1,3.71,0.6,0.43,225.79,0.28,1,1,0.282376504,-1.004042929,-0.41579824
1,1.36,0.68,0.14,420.87,0.65,0,1,0.982815891,0.487775367,-0.006717187
1,1,0.8,0.49,215.83,0.27,1,1,0.140219072,0.18176479,-0.035975063
1,4.43,0.62,0.2,186.89,0.85,0,1,-1.917333066,-1.14052682,0.443455974
1,0,0,0.25,9.36,0.54,1,1,-0.567065399,-0.969140501,-0.091091579
1,1.81,-0.32,0.27,329.69,0.37,0,1,0.198085672,-0.086119485,0.731245109
1,0.2,-0.09,0.23,122.5,0.92,1,1,-1.015264388,-0.476210857,-0.71129989
1,2.14,0.2,0.48,450.21,0.62,0,1,-0.03932314,1.093382025,1.073130989
1,0,0,0.22,12.27,0.47,1,1,-0.35385483,0.057356146,0.419644266
1,0.32,-0.22,0.13,45.86,0.72,1,1,-0.660588739,0.075991693,-0.245200908
1,4.16,0.33,0.06,457.7,0.87,0,1,-0.112222551,0.246034233,0.190458422
1,4.89,-0.45,0.13,176.55,0.68,0,1,0.010641088,-0.595697998,-0.100289981
1,1.14,0.23,0.46,464.41,0.75,0,1,-1.555354174,0.085103977,-0.584896043
1,1.49,-0.47,0.31,217.51,0.79,0,1,-0.04465619,-0.362925903,-1.27367457
1,1.74,0.52,0.27,171.01,0.77,0,1,-0.189959337,-0.148183972,-0.222197514
1,0.28,-0.16,0.12,48.98,0.71,1,1,1.449789124,0.269891416,-0.318562456
1,3.96,-0.03,0.27,423.03,0.31,0,1,1.133280421,0.618508125,0.177163884
1,0.1,0.04,0.64,140.92,0.61,1,1,-0.388830586,0.227002204,0.809673111
1,0.11,0.06,0.54,118.34,0.65,1,1,-0.6019377,-0.811613177,-0.187581577
1,4.58,0.01,0.47,459.07,0.81,0,1,-0.463705874,0.501436546,0.420545803
1,4.82,-0.38,0,160.41,0.49,0,1,-0.071177055,-0.817469186,-0.634605613
1,3.86,0.33,0.22,453.05,0.4,0,1,1.288808562,-0.2259236,-0.209405471
1,0.64,0.12,0.21,493.71,0.74,0,1,-2.181986929,0.113305418,1.580483513
1,0.14,0.85,0.42,313.93,0.17,0,1,-0.175726882,-0.533657385,0.001119247
1,3.92,0.98,0.45,348.21,0.15,0,1,-1.278781383,0.494948722,0.29122134
1,0.08,0.06,0.61,144.13,0.58,1,1,0.506283868,-0.322406208,-0.283516215
1,3.69,0.72,0.45,236.21,0.65,0,1,-0.737582013,1.246467036,-0.811053269
1,0.21,0.62,0.41,158.08,0.42,1,1,0.026300313,0.126206032,-0.230040769
1,3.11,-0.28,0.06,264.25,0.31,0,1,0.997379175,0.882623681,0.462902108
1,4.02,0.04,0.47,69.65,0.35,0,1,-0.17590537,1.654798325,-0.990644367
1,0.25,-0.21,0.11,59.76,0.77,1,1,0.354391432,-0.981258381,0.94536972
1,0.24,0.08,0.46,183.2,0.39,1,1,1.677453838,0.14826071,0.167669896
1,0,0,0.23,5.69,0.51,1,1,0.068466761,0.755827614,-0.710156201
1,0.21,0.12,0.41,196.45,0.43,1,1,-0.773331976,0.350570986,0.07941253
1,3.04,-0.44,0.23,447.65,0.58,1,1,0.852930953,0.060794036,-0.149000243
1,0.17,-0.08,0.3,71.15,0.84,1,1,-0.977568106,-0.029433522,0.175379569
1,4.11,0.64,0.07,67.78,0.82,0,1,0.811521659,-0.71063198,0.082079055
1,4.54,0.48,0.46,213.14,0.67,0,1,-0.509348865,-1.180007985,0.087899821
1,3.57,-0.13,0.14,277.25,0.62,0,1,-0.491397714,1.181263087,0.762108812
1,0.09,0.04,0.64,87.49,0.55,1,1,0.529964836,0.430469527,-0.42821739
1,2.65,0.01,0.39,215.8,0.36,0,1,0.256665089,0.426528572,-0.080178211
1,1.83,0.36,0.33,448.58,0.51,0,1,0.595596248,-0.617258138,-0.296586222
1,1.74,0.33,0.27,97.72,0.35,1,1,0.374221827,0.030471199,-0.141927785
1,3.89,-0.38,0.25,201.26,0.39,1,1,0.569050371,0.49423079,-0.243487079
